Iteration                Wall_Time                Samples                  Test_Return              Test_Episode_Length      Test_Episodes            Train_Return             Train_Episode_Length     Train_Episodes           Critic_Loss              Q1_Loss                  Q2_Loss                  Target_Q                 Pred_Q1                  Pred_Q2                  Actor_Loss               Policy_Logp              Policy_Q                 
0                        0.0007748200496037801    2200                     0.35117948423197415      501.0                    10                       5.204159236882333e-08    501.0                    4                        0.08015424758195877      0.04152757674455643      0.038626670837402344     0.25703737139701843      0.0715792328119278       0.0838957130908966       -0.3383873701095581      -1.3401011228561401      0.07036712765693665      
10                       0.0031630935271581015    4200                     1.5248767825732205e-09   501.0                    10                       0.0                      501.0                    3                        0.023833155632019043     0.011931845918297768     0.011901312507689        0.7488282322883606       0.7413660287857056       0.7412595152854919       -1.0060633420944214      -1.354827880859375       0.7350977659225464       
20                       0.014956512848536174     6200                     11.541547880091912       501.0                    10                       2.7096540122784063e-08   501.0                    3                        0.06627031415700912      0.033202163875103        0.033068154007196426     1.2868722677230835       1.2827439308166504       1.2833253145217896       -1.544068455696106       -1.348014235496521       1.274465799331665        
30                       0.021778193049960665     8200                     0.0019426578954715248    501.0                    10                       2.7199396164176437e-13   501.0                    3                        0.10053902119398117      0.050224676728248596     0.050314344465732574     1.8278663158416748       1.826646327972412        1.8258122205734253       -2.083989381790161       -1.3521608114242554      1.813557505607605        
40                       0.026888683703210618     10200                    2.262423685732582e-17    501.0                    10                       0.0                      501.0                    3                        0.12008718401193619      0.06012073904275894      0.059966444969177246     2.365476131439209        2.3624868392944336       2.362149953842163        -2.6165449619293213      -1.354673147201538       2.3456099033355713       
50                       0.029063220620155334     12200                    2.970772934054475e-12    501.0                    10                       2.4753596773814194e-34   501.0                    3                        0.2388460338115692       0.119619220495224        0.11922680586576462      2.866053342819214        2.86320424079895         2.8633217811584473       -3.115978717803955       -1.3542498350143433      2.8451297283172607       
60                       0.031288377377722        14200                    4.269729098849584e-23    501.0                    10                       0.12981051206588745      501.0                    3                        0.3123575747013092       0.15626078844070435      0.15609672665596008      3.3642635345458984       3.3643314838409424       3.364895820617676        -3.6130900382995605      -1.353118658065796       3.342466354370117        
70                       0.03352887544367048      16200                    6.083297238346812e-59    501.0                    10                       74.17042541503906        501.0                    3                        0.42308664321899414      0.21142178773880005      0.2116648256778717       3.8805606365203857       3.8789875507354736       3.8796846866607666       -4.127729892730713       -1.349254846572876       3.8578786849975586       
80                       0.03574178689055973      18200                    2.5650424488662904e-15   501.0                    10                       5.021210469635662e-08    501.0                    3                        0.531144917011261        0.2661796808242798       0.26496514678001404      4.362539291381836        4.3583221435546875       4.358010292053223        -4.604186058044434       -1.3451404571533203      4.335157871246338        
90                       0.03794396281242371      20200                    4.362946800532623e-34    501.0                    10                       0.0                      501.0                    3                        0.3118181824684143       0.15579557418823242      0.15602268278598785      4.854884624481201        4.851992607116699        4.850744247436523        -5.098478317260742       -1.3435829877853394      4.8297600746154785       
100                      0.04008525768915812      22200                    18.929526939202038       501.0                    10                       0.0                      501.0                    3                        0.9916895627975464       0.4959886372089386       0.4957011044025421       5.279550075531006        5.274951457977295        5.274329662322998        -5.518383026123047       -1.3374968767166138      5.250885009765625        
110                      0.04235890938176049      24200                    4.2469617559284394e-58   501.0                    10                       0.0                      501.0                    3                        0.7906652092933655       0.39517733454704285      0.39548778533935547      5.731265544891357        5.721768856048584        5.7212347984313965       -5.96466064453125        -1.3237754106521606      5.699903964996338        
120                      0.04453723463747236      26200                    5.7539675158174754e-36   501.0                    10                       1.8143396784964239e-09   501.0                    3                        0.883817732334137        0.44240301847457886      0.441415011882782        6.141091823577881        6.140664100646973        6.13963508605957         -6.381276607513428       -1.3220874071121216      6.11685848236084         
130                      0.04677116268210941      28200                    2.997116974389945e-05    501.0                    10                       1.0578207197401825e-26   501.0                    3                        1.5681906938552856       0.78555828332901         0.7826329469680786       6.517404556274414        6.518917083740234        6.518143177032471        -6.758649826049805       -1.295796275138855       6.499491214752197        
140                      0.04910362667507596      30200                    0.0004235455854077784    501.0                    10                       0.0                      501.0                    3                        1.468248963356018        0.7341413497924805       0.7341076731681824       6.879274845123291        6.885285377502441        6.88631010055542         -7.121089935302734       -1.3185086250305176      6.857388973236084        
150                      0.051374864048428004     32200                    15.125142666967932       501.0                    10                       1.2750351379635198e-14   501.0                    3                        1.435981273651123        0.719019889831543        0.7169617414474487       7.247557163238525        7.248356342315674        7.247701168060303        -7.482748031616211       -1.3019691705703735      7.222352981567383        
160                      0.05364025228553348      34200                    1.829707914940625e-24    501.0                    10                       0.0                      501.0                    3                        1.7047643661499023       0.8533671498298645       0.8513972759246826       7.582273960113525        7.5797553062438965       7.5785417556762695       -7.814747333526611       -1.3022124767303467      7.554304599761963        
170                      0.055864148868454824     36200                    1.2107104574364863e-11   501.0                    10                       5.328997110277297e-34    501.0                    3                        1.8920550346374512       0.946183443069458        0.9458711743354797       7.902036666870117        7.898958683013916        7.898652076721191        -8.131531715393066       -1.3061834573745728      7.870293617248535        
180                      0.05810575968689389      38200                    1.1994208219483576e-114  501.0                    10                       66.37834167480469        501.0                    3                        1.6843125820159912       0.8433926105499268       0.8409201502799988       8.245180130004883        8.243437767028809        8.242796897888184        -8.476126670837402       -1.2989245653152466      8.216340065002441        
190                      0.06026443421840668      40200                    1.287741007404521e-11    501.0                    10                       9.176668691124837e-20    501.0                    3                        2.702956199645996        1.3546639680862427       1.3482922315597534       8.524446487426758        8.522055625915527        8.521172523498535        -8.754194259643555       -1.2895269393920898      8.496289253234863        
200                      0.06245197455088298      42200                    4.302995345152004e-21    501.0                    10                       8.291736741661282e-11    501.0                    3                        1.9033008813858032       0.9522513151168823       0.9510493874549866       8.845669746398926        8.84576416015625         8.846966743469238        -9.080144882202148       -1.2818235158920288      8.823780059814453        
