Iteration                Wall_Time                Samples                  Test_Return              Test_Episode_Length      Test_Episodes            Train_Return             Train_Episode_Length     Train_Episodes           Dyn_Loss                 Dyn_Delta_Loss           Dyn_Reward_Loss          Critic_Loss              Q1_Loss                  Q2_Loss                  Target_Q                 Pred_Q1                  Pred_Q2                  Actor_Loss               Policy_Logp              Policy_Q                 
0                        0.0013301698366800943    2100                     514.125437787098         1000.0                   10                       397.75115966796875       1000.0                   2                        0.07918275892734528      0.005623469594866037     0.07355927675962448      0.11494757980108261      0.06195968762040138      0.05298791080713272      0.09385670721530914      0.0008475536596961319    0.02637009136378765      -0.008919615298509598    -0.19202104210853577     -0.0006814369116909802   
10                       0.0037655974096722075    3100                     215.07972657577665       1000.0                   10                       377.32122802734375       1000.0                   1                        0.0008192372042685747    0.00028372008819133043   0.0005355170578695834    0.010200858116149902     0.005259723402559757     0.00494113564491272      0.17956818640232086      0.17269928753376007      0.17372079193592072      -0.1803109347820282      -0.17559011280536652     0.17153142392635345      
20                       0.006074338290426466     4100                     188.28578548315576       1000.0                   10                       198.14077758789062       1000.0                   1                        0.000649399938993156     0.0004361567262094468    0.00021324321278370917   0.00471727829426527      0.0023270363453775644    0.0023902414832264185    0.2544795870780945       0.2509769797325134       0.2516392171382904       -0.25067761540412903     -0.1835360825061798      0.2415008842945099       
30                       0.008126293619473776     5100                     281.89339802116723       1000.0                   10                       239.39520263671875       1000.0                   1                        0.0007825494976714253    0.00048605314805172384   0.0002964966115541756    0.003866111394017935     0.0018823191057890654    0.001983792521059513     0.3396013677120209       0.33839794993400574      0.33851006627082825      -0.33513981103897095     -0.18966922163963318     0.32565638422966003      
40                       0.010706760088602702     6100                     356.21530169905014       1000.0                   10                       270.51171875             1000.0                   1                        0.0005930114421062171    0.0004585814895108342    0.00013442995259538293   0.0026291795074939728    0.0012144880602136254    0.0014146910980343819    0.4272882640361786       0.42670342326164246      0.4264984726905823       -0.4098851978778839      -0.18715669214725494     0.40052729845046997      
50                       0.0133521611822976       7100                     298.478292962481         1000.0                   10                       237.88819885253906       1000.0                   1                        0.00048480916302651167   0.00038470138679258525   0.00010010788537329063   0.0024188284296542406    0.0010837463196367025    0.0013350826920941472    0.49704959988594055      0.4957919120788574       0.4965607821941376       -0.49554502964019775     -0.18050463497638702     0.48651978373527527      
60                       0.01582805845472548      8100                     379.9820131844823        1000.0                   10                       277.9973449707031        1000.0                   1                        0.0005048220627941191    0.0004277680127415806    7.705413008807227e-05    0.00426484877243638      0.002039917977526784     0.0022249314934015274    0.5865119695663452       0.5856924653053284       0.585985541343689        -0.5535028576850891      -0.17825034260749817     0.5445903539657593       
70                       0.018484778006871542     9100                     298.9480061451877        1000.0                   10                       307.16412353515625       1000.0                   1                        0.0004301882872823626    0.0003516610886435956    7.852711860323325e-05    0.005595610477030277     0.002626148983836174     0.002969461726024747     0.6569948196411133       0.6565285325050354       0.6565279364585876       -0.6580202579498291      -0.1723165512084961      0.6494043469429016       
80                       0.020881037778324552     10100                    383.2049689414824        1000.0                   10                       155.8600616455078        1000.0                   1                        0.0004019527696073055    0.0003393518563825637    6.260092050069943e-05    0.005916464142501354     0.0027413738425821066    0.0031750909984111786    0.7339909076690674       0.733423113822937        0.7336010932922363       -0.7176640629768372      -0.17005141079425812     0.7091614603996277       
90                       0.023178879684872096     11100                    337.4013288076768        1000.0                   10                       227.943603515625         1000.0                   1                        0.00043226772686466575   0.0003777486563194543    5.4519055993296206e-05   0.003287490690127015     0.0014180423459038138    0.0018694483442232013    0.8381390571594238       0.8379566669464111       0.8380173444747925       -0.8087593913078308      -0.1727481633424759      0.8001219034194946       
