Iteration                Wall_Time                Samples                  Test_Return              Test_Episode_Length      Test_Episodes            Train_Return             Train_Episode_Length     Train_Episodes           Critic_Loss              Actor_Loss               Ppo_Loss                 Entropy                  Clip_Frac                Adv_Mean                 Adv_Std                  
0                        0.0004117609394921197    2048                     7.515097022372092e-27    501.0                    10                       0.0                      501.0                    4                        1.1726937373168766e-05   0.0014424165710806847    0.019604673609137535     1.816224455833435        0.0                      0.001883335062302649     0.0037992459256201982    
10                       0.0035842163695229425    22528                    15.147925870940991       501.0                    10                       3.3024799823760986       500.99993896484375       40                       13.352091789245605       -0.020353304222226143    -0.002191044157370925    1.816224455833435        0.013574219308793545     1.0904557704925537       3.655930995941162        
20                       0.005812440845701429     43008                    1.2917552558575602e-10   501.0                    10                       8.070221900939941        500.99993896484375       40                       0.6119376420974731       -0.021810492500662804    -0.0036482345312833786   1.816224455833435        0.07480468600988388      0.08639762550592422      0.937065839767456        
30                       0.008098518715964424     63488                    6.5055739769990195       501.0                    10                       0.15444529056549072      500.99993896484375       40                       0.018004486337304115     -0.01687002368271351     0.0012922330060973763    1.816224455833435        0.13022461533546448      -0.047969114035367966    0.1510515660047531       
40                       0.010342822803391351     83968                    3.5458201297554007e-62   501.0                    10                       2.15520753954479e-06     500.99993896484375       40                       0.001668785116635263     -0.017679013311862946    0.00048324387171305716   1.816224455833435        0.01918945275247097      -0.01211127545684576     0.04589381441473961      
50                       0.012685228718651666     104448                   1.3774163087643054       501.0                    10                       1.9582290649414062       500.99993896484375       40                       0.011161032132804394     -0.02233896218240261     -0.004176701884716749    1.816224455833435        0.06308593600988388      -0.08425365388393402     0.12703587114810944      
60                       0.014982207549942865     124928                   0.007567327420951203     501.0                    10                       1.6218204498291016       500.99993896484375       40                       0.1458149254322052       -0.00479587959125638     0.013366381637752056     1.816224455833435        0.03696289286017418      0.05976400896906853      0.44846630096435547      
70                       0.01705791672070821      145408                   24.417484869677132       501.0                    10                       1.67311429977417         500.99993896484375       40                       0.03980139642953873      -0.014108664356172085    0.004053595941513777     1.816224455833435        0.03574218973517418      -0.04483610764145851     0.22639523446559906      
80                       0.018996089233292473     165888                   0.1453909564593754       501.0                    10                       1.947737455368042        500.99993896484375       40                       0.06769279390573502      -0.026013104245066643    -0.007850845344364643    1.816224455833435        0.09282226860523224      -0.1795084923505783      0.45023313164711         
90                       0.0211057890786065       186368                   0.018096252749733643     501.0                    10                       0.009480101056396961     500.99993896484375       40                       0.011533200740814209     -0.04833601415157318     -0.03017374873161316     1.816224455833435        0.02617187611758709      -0.03220325708389282     0.12286973744630814      
100                      0.023186276488833958     206848                   5.480908187378357e-18    501.0                    10                       9.845246315002441        500.99993896484375       40                       10.629045486450195       -0.045564018189907074    -0.0274017583578825      1.816224455833435        0.053466796875           -0.7923849821090698      3.6422741413116455       
110                      0.025175596276919048     227328                   3.335961570883421e-29    501.0                    10                       0.0007683853036724031    500.99993896484375       40                       0.22418193519115448      -0.03612878918647766     -0.017966534942388535    1.816224455833435        0.02158203162252903      -0.24117308855056763     0.552839994430542        
120                      0.02718306243419647      247808                   0.010787613240377471     501.0                    10                       0.15342013537883759      500.99993896484375       40                       0.06646279990673065      -0.0539790503680706      -0.03581678867340088     1.816224455833435        0.08745117485523224      -0.045687634497880936    0.28699183464050293      
130                      0.02916094468699561      268288                   8.662655459198637e-05    501.0                    10                       1.957129955291748        500.99993896484375       40                       2.1443469524383545       0.0038534009363502264    0.022015657275915146     1.816224455833435        0.05385742336511612      0.34992703795433044      1.6722062826156616       
140                      0.031662415199809606     288768                   33.33657935628696        501.0                    10                       5.438697814941406        500.99993896484375       40                       0.9491812586784363       -0.010112899355590343    0.008049359545111656     1.816224455833435        0.06362304836511612      -0.3924836814403534      1.0889595746994019       
150                      0.03429705533716414      309248                   4.195530578650156        501.0                    10                       21.7200984954834         500.99993896484375       40                       7.112387180328369        -0.04755384474992752     -0.02939157746732235     1.816224455833435        0.08432617038488388      -0.6201889514923096      2.958813190460205        
160                      0.036277797818183896     329728                   0.4650042186880163       501.0                    10                       12.705521583557129       500.99993896484375       40                       1.839556336402893        -0.007610139437019825    0.0105521185323596       1.816224455833435        0.07309570163488388      0.5747886300086975       1.825714111328125        
170                      0.038312804765171474     350208                   12.29242944205543        501.0                    10                       22.687585830688477       500.99993896484375       40                       10.88337516784668        -0.0415181927382946      -0.023355944082140923    1.816224455833435        0.06474609673023224      -1.0335094928741455      3.870349884033203        
180                      0.04027938961982727      370688                   210.93855997507944       501.0                    10                       54.80088806152344        500.99993896484375       40                       53.61677932739258        -0.028721794486045837    -0.010559538379311562    1.816224455833435        0.06235351786017418      1.1524914503097534       8.284982681274414        
